"war_name"
"马拉维危机"
"义和团运动"
"日俄战争"
"第一次世界大战"
"芬兰内战"
"1917年俄国革命"
"俄国内战"
"波苏战争"
"土耳其独立战争"
"西班牙内战"
"中国抗日战争"
"苏日边界冲突"
"冬季战争"
"继续战争"
"第二次世界大战"
"苏德战争"
"第一次印度支那战争"
"国共内战"
"朝鲜战争"
"1956年匈牙利革命"
"北也门内战"
"越南战争"
"老挝内战"
"柬埔寨内战"
"柬越战争"
"泰寮边境战争"
"Thai–Laotian Border War"
"1979年中越战争"
"阿富汗内战"
"1979年阿富汗战争"
"南斯拉夫战争"
"第一次车臣战争"
"第二次车臣战争"
"2001年阿富汗战争"
"伊拉克战争"
"2011年叙利亚内战"
"顿巴斯战争"
"义和团运动"
"日俄战争"
"第一次世界大战"
"芬兰内战"
"1917年俄国革命"
"俄国内战"
"波苏战争"
"土耳其独立战争"
"西班牙内战"
"中国抗日战争"
"苏日边界冲突"
"冬季战争"
"继续战争"
"第二次世界大战"
"苏德战争"
"第一次印度支那战争"
"国共内战"
"朝鲜战争"
"1956年匈牙利革命"
"北也门内战"
"越南战争"
"老挝内战"
"柬埔寨内战"
"柬越战争"
"泰寮边境战争"
"Thai–Laotian Border War"
"1979年中越战争"
"阿富汗内战"
"1979年阿富汗战争"
"南斯拉夫战争"
"第一次车臣战争"
"第二次车臣战争"
"2001年阿富汗战争"
"伊拉克战争"
"2011年叙利亚内战"
"顿巴斯战争"
"第一次世界大战"
"俄国内战"
"芬兰内战"
"第二次世界大战"
"第二次中日战争"
"国共内战"
"朝鲜战争"
"越南战争"
"中国抗日战争"
"第二次世界大战"
"两山战役"
"斯里兰卡内战"
"伊拉克战争"
"叙利亚内战"
"缅甸内战"
"缅甸内战"
"苏伊士运河危机"
"马来亚危机"
"猪湾事件"
"印马对峙"
"越南战争"
"柬埔寨内战"
"亚丁危机"
"Aden Emergency"
"印巴战争"
"六七暴动"
"六日战争"
"葡萄牙殖民战争"
"南非边境战争"
"安哥拉内战"
"北爱尔兰问题"
"埃以消耗战争"
"罗德西亚丛林战争"
"福克兰战争"
"海湾战争"
"南斯拉夫战争"
"尼泊尔内战"
"塞内帕战争"
"塞拉利昂内战"
"赎罪日战争"
"卢旺达内战"
"2001年阿富汗战争"
"伊拉克战争"
"莫桑比克独立战争"
"2011年利比亚内战"
"2011年叙利亚内战"
"墨西哥毒品战争"
"缅甸内战"
"第一次苏丹内战"
"匈牙利1956年革命"
"[1]"
"越南战争"
"中苏边界冲突"
"寮国内战"
"柬埔寨内战"
"南非边境战争"
"哥伦比亚内战"
"第二次印巴战争"
"罗德西亚丛林战争"
"埃以消耗战争"
"莫洛冲突"
"Moro conflict"
"六日战争"
"柬越战争"
"斯里兰卡内战"
"赎罪日战争"
"安哥拉内战"
"黎巴嫩内战"
"乍得－利比亚冲突"
"Chadian–Libyan conflict"
"欧加登战争"
"阿富汗内战"
"1979年中越战争"
"苏联－阿富汗战争"
"萨尔瓦多内战"
"Salvadoran Civil War"
"两伊战争"
"两山战役"
"1982年埃塞俄比亚－索马里边境战争"
"1982 Ethiopian–Somali Border War"
"1982年黎巴嫩战争"
"第二次苏丹内战"
"黎巴嫩南部冲突"
"South Lebanon conflict (1985–2000)"
"第一次利比里亚内战"
"First Liberian Civil War"
"纳戈尔诺-卡拉巴赫战争"
"格鲁吉亚－奥塞梯冲突"
"阿尔及利亚内战"
"泰寮边境战争"
"Thai–Laotian Border War"
"海湾战争"
"格鲁吉亚内战"
"Georgian Civil War"
"1991年南奥塞梯战争"
"第一次车臣战争"
"奥塞梯－印古什战争"
"East Prigorodny Conflict"
"塔吉克内战"
"1992年阿布哈兹战争"
"War in Abkhazia (1992–1993)"
"聂斯特河沿岸战争"
"索马里内战"
"卢旺达内战"
"南斯拉夫内战"
"克罗埃西亚独立战争"
"波士尼亚战争"
"第一次刚果战争"
"第二次刚果战争"
"第二次车臣战争"
"1998年阿布哈兹战争"
"第二次利比里亚内战"
"Second Liberian Civil War"
"科索沃战争"
"达吉斯坦战争"
"War of Dagestan"
"2001年阿富汗战争"
"伊拉克战争"
"巴基斯坦西北部战争"
"2006年以黎冲突"
"墨西哥毒品战争"
"泰柬边境争端"
"2008年南奥塞梯战争"
"博科圣地叛乱"
"北高加索叛乱"
"2011年利比亚内战"
"叙利亚内战"
"伊拉克内战"
"马里北部冲突"
"南苏丹内战"
"顿巴斯战争"
"第二次利比亚内战"
"2015年也门内战"
"2001年阿富汗战争"
"一战"
"二战"
"中国抗日战争"
"印度支那战争"
"国共内战"
"第一次中东战争"
"韩战"
"越战"
"猪湾事件"
"古巴革命"
"巴勒斯坦内战"
"柬埔寨内战"
"柬越边境战争"
"寮泰边境战争"
"土耳其入侵塞浦路斯"
"中越边境战争"
"巴勒斯坦内战"
"阿富汗战争"
"墨西哥毒品战争"
"第二次车臣战争"
"2001年阿富汗战争"
"2003年伊拉克战争"
"墨西哥毒品战争"
"中非共和国冲突"
"也门内战"
"沙特领导的干预也门行动"
"沙特—也门边界冲突"
"Conflict in Najran, Jizan and Asir"
"车臣战争"
"达吉斯坦战争"
"War of Dagestan"
"莫斯科歌剧院胁持事件"
"别斯兰人质危机"
"2008年南奥塞梯战争"
"北高加索叛乱"
"2014年克里米亚危机"
"顿巴斯战争"
"阿富汗战争"
"2011年利比亚内战"
"2011年叙利亚内战"
"第二次世界大战"
"德苏战争"
"越南战争"
"中越战争"
"中东战争"
"赎罪日战争"
"越南战争"
"斯里兰卡内战"
"葡萄牙殖民地战争"
"福克兰战争"
"南非边境战争"
"1982年黎巴嫩战争"
"罗德西亚丛林战争"
"索马里内战"
"2011年叙利亚内战"
"墨西哥毒品战争"
"二战"
"苏芬战争"
"德苏战争"
"冷战"
"中东战争"
"越战"
"阿富汗战争"
"科索沃战争"
"2011年利比亚内战"
"2011年叙利亚内战"
"市场花园行动"
"越南战争"
"冷战"
"马岛战争"
"北爱尔兰问题"
"海湾战争"
"伊拉克战争"
"2011年利比亚内战"
"二次大战"
"国共内战"
"韩战"
"越战"
"猪湾事件"
"古巴革命"
"希腊内战"
"印度支那战争"
"老挝内战"
"柬埔寨内战"
"寮泰边境战争"
"柬越战争"
"中越边境战争"
"两伊战争"
"北爱尔兰问题"
"肮脏战争"
"福克兰群岛战争"
"[1]"
"海湾战争"
"2001年阿富汗战争"
